date,width_khelang,width_mid,width_yao,discharge_m3s
2024-01-07,60.0,0.0,0.0,0.0
2024-01-07,0.0,40.0,9.0,13.0
2024-01-19,60.0,0.0,0.0,0.0
2024-01-19,0.0,10.0,39.0,1.0
2024-01-31,110.0,0.0,0.0,0.0
2024-01-31,0.0,0.0,0.0,0.0
2024-02-12,20.0,0.0,0.0,0.0
2024-02-12,0.0,40.0,20.0,13.0
2024-02-24,20.0,0.0,0.0,0.0
2024-02-24,0.0,0.0,10.0,0.0
2024-03-07,30.0,0.0,0.0,0.0
2024-03-07,0.0,20.0,20.0,4.0
2024-03-19,0.0,0.0,0.0,0.0
2024-03-19,0.0,4.0,10.0,0.0
2024-03-31,6.0,0.0,0.0,0.0
2024-03-31,0.0,16.0,40.0,2.0
2024-04-12,10.0,0.0,0.0,0.0
2024-04-12,0.0,30.0,10.0,8.0
2024-04-24,40.0,0.0,0.0,0.0
2024-04-24,0.0,20.0,79.0,4.0
2024-05-06,40.0,0.0,0.0,0.0
2024-05-06,0.0,0.0,39.0,0.0
2024-05-18,20.0,0.0,0.0,0.0
2024-05-18,0.0,16.0,60.0,2.0
2024-05-30,24.0,24.0,10.0,5.0
2024-06-11,0.0,0.0,0.0,0.0
2024-06-11,0.0,0.0,25.0,0.0
2024-06-23,0.0,7.0,10.0,1.0
2024-07-05,50.0,0.0,0.0,0.0
2024-07-05,0.0,10.0,0.0,1.0
2024-07-17,10.0,0.0,10.0,0.0
2024-07-29,16.0,0.0,0.0,0.0
2024-07-29,0.0,10.0,0.0,1.0
2024-08-10,54.0,0.0,10.0,0.0
2024-08-22,0.0,0.0,0.0,0.0
2024-08-22,0.0,10.0,13.0,1.0
2024-09-03,0.0,0.0,0.0,0.0
2024-09-03,0.0,0.0,0.0,0.0
2024-09-15,0.0,0.0,0.0,0.0
2024-09-15,0.0,3.0,0.0,0.0
2024-09-27,10.0,0.0,0.0,0.0
2024-09-27,0.0,0.0,0.0,0.0
2024-10-09,0.0,0.0,0.0,0.0
2024-10-09,0.0,10.0,0.0,1.0
2024-10-21,17.0,0.0,0.0,0.0
2024-10-21,0.0,13.0,0.0,2.0
2024-11-02,20.0,0.0,0.0,0.0
2024-11-02,0.0,20.0,0.0,4.0
2024-11-14,3.0,0.0,0.0,0.0
2024-11-14,0.0,20.0,0.0,4.0
2024-11-26,0.0,0.0,0.0,0.0
2024-11-26,0.0,0.0,14.0,0.0
2024-12-08,40.0,0.0,0.0,0.0
2024-12-08,0.0,0.0,0.0,0.0
2024-12-20,40.0,0.0,0.0,0.0
2024-12-20,0.0,0.0,0.0,0.0
2025-01-01,50.0,0.0,0.0,0.0
2025-01-01,0.0,10.0,10.0,1.0
2025-01-13,15.0,0.0,0.0,0.0
2025-01-13,0.0,16.0,20.0,2.0
2025-01-25,30.0,0.0,0.0,0.0
2025-01-25,0.0,10.0,35.0,1.0
2025-02-06,50.0,0.0,0.0,0.0
2025-02-18,70.0,0.0,0.0,0.0
2025-02-18,0.0,20.0,31.0,4.0
2025-03-02,20.0,10.0,10.0,1.0
2025-03-14,66.0,0.0,0.0,0.0
2025-03-14,0.0,7.0,32.0,1.0
2025-03-26,40.0,0.0,0.0,0.0
2025-03-26,0.0,0.0,46.0,0.0
2025-04-07,89.0,0.0,0.0,0.0
2025-04-07,0.0,0.0,50.0,0.0
2025-04-19,0.0,0.0,0.0,0.0
2025-04-19,0.0,0.0,8.0,0.0
2025-05-01,15.0,0.0,0.0,0.0
2025-05-01,0.0,4.0,0.0,0.0
2025-05-13,70.0,0.0,0.0,0.0
2025-05-13,0.0,20.0,11.0,4.0
2025-06-06,0.0,0.0,0.0,0.0
2025-06-06,0.0,0.0,0.0,0.0
2025-06-18,0.0,10.0,0.0,1.0
2025-06-30,0.0,0.0,0.0,0.0
2025-06-30,0.0,0.0,10.0,0.0
2025-07-24,46.0,0.0,0.0,0.0
2025-07-24,0.0,0.0,0.0,0.0
2025-08-05,90.0,15.0,0.0,2.0
2025-08-17,10.0,0.0,0.0,0.0
2025-08-29,10.0,16.0,0.0,2.0
2025-09-10,0.0,10.0,0.0,1.0
2025-09-22,0.0,0.0,10.0,0.0
2025-10-04,0.0,0.0,10.0,0.0
2025-10-16,0.0,12.0,0.0,1.0
2025-10-28,0.0,14.0,0.0,2.0
2025-11-09,0.0,0.0,0.0,0.0
2025-11-21,10.0,0.0,0.0,0.0
2025-12-03,0.0,9.0,3.0,1.0
2025-12-15,0.0,9.0,0.0,1.0
2025-12-27,0.0,0.0,0.0,0.0
2026-01-08,19.0,42.0,0.0,15.0
2026-01-20,10.0,6.0,0.0,0.0
2026-02-01,40.0,44.0,20.0,16.0
2026-02-13,60.0,32.0,20.0,9.0
2026-02-25,50.0,10.0,54.0,1.0
2026-03-09,20.0,45.0,50.0,16.0
2026-03-21,0.0,26.0,16.0,6.0
2026-04-02,0.0,0.0,40.0,0.0
2026-04-14,20.0,10.0,40.0,1.0
2026-04-26,19.0,10.0,32.0,1.0
